MaLead,SoDienThoai,HoTen,NgayTiepNhan,MaChienDich,MaBaiViet,SanPham,Vung,ChiNhanh,NhuCau,TrangThai,PhanLoai,GiaoDichVien
BRC-01390,0921944678,Khách hàng 1390,06/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hải Phòng,Mở mới,Thành công,Ấm,GDV-015
BRC-01590,0923158800,Khách hàng 1590,07/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,Mở mới,Đã tư vấn,Cần nuôi,GDV-005
BRC-01838,0983638173,Khách hàng 1838,07/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN Cần Thơ,Mở mới,Không liên hệ được,Nóng,GDV-058
BRC-01794,0902687150,Khách hàng 1794,07/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Cầu Giấy,Mở mới,Thành công,Ấm,GDV-004
BRC-01458,0941023563,Khách hàng 1458,07/01/2026,CMP-2026-Q1,,Tài khoản lương,Miền Bắc,CN Hải Phòng,Mở mới,Mới,Cần nuôi,GDV-057
BRC-01623,0904835035,Khách hàng 1623,07/01/2026,CMP-2026-Q1,,Vay mua nhà,Miền Trung,CN Huế,Tư vấn sản phẩm,Đang liên hệ,Cần nuôi,GDV-001
BRC-01375,0997461224,Khách hàng 1375,07/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN Cần Thơ,Tư vấn sản phẩm,Mới,Cần nuôi,GDV-051
BRC-01574,0927799506,Khách hàng 1574,07/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Cầu Giấy,Hỗ trợ hồ sơ,Đã tư vấn,Ấm,GDV-028
BRC-01219,0978419871,Khách hàng 1219,07/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Thủ Đức,Mở mới,Chuyển hồ sơ,Ấm,GDV-008
BRC-01094,0973378254,Khách hàng 1094,08/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hải Phòng,Mở mới,Mới,Ấm,GDV-002
BRC-01275,0983459093,Khách hàng 1275,08/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Ba Đình,Mở mới,Mới,Cần nuôi,GDV-010
BRC-01879,0902796444,Khách hàng 1879,08/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hải Phòng,Tư vấn sản phẩm,Đang liên hệ,Ưu tiên thấp,GDV-016
BRC-01922,0999626002,Khách hàng 1922,08/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Ba Đình,Tư vấn sản phẩm,Mới,Cần nuôi,GDV-001
BRC-01113,0951851333,Khách hàng 1113,08/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Ba Đình,Mở mới,Mới,Cần nuôi,GDV-048
BRC-01211,0972466612,Khách hàng 1211,08/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Trung,CN Huế,Mở mới,Mới,Cần nuôi,GDV-017
BRC-02010,0945608396,Khách hàng 2010,09/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN Bình Dương,So sánh sản phẩm,Đang liên hệ,Nóng,GDV-053
BRC-01151,0941891655,Khách hàng 1151,09/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Bắc Ninh,Mở mới,Đã tư vấn,Cần nuôi,GDV-010
BRC-01937,0983037377,Khách hàng 1937,09/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Cầu Giấy,Tư vấn sản phẩm,Không liên hệ được,Ấm,GDV-008
BRC-01370,0964060689,Khách hàng 1370,09/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,Hỏi ưu đãi,Đang liên hệ,Ấm,GDV-044
BRC-01953,0948926752,Khách hàng 1953,09/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN Bình Dương,Mở mới,Mới,Ấm,GDV-014
BRC-01681,0928942999,Khách hàng 1681,09/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,Hỏi ưu đãi,Không liên hệ được,Ấm,GDV-018
BRC-01528,0912052962,Khách hàng 1528,09/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN Cần Thơ,Mở mới,Đã tư vấn,Ấm,GDV-033
BRC-01890,0990864839,Khách hàng 1890,10/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN Bình Dương,Hỗ trợ hồ sơ,Đang liên hệ,Ưu tiên thấp,GDV-031
BRC-01279,0958181730,Khách hàng 1279,10/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Bắc Ninh,Tư vấn sản phẩm,Mới,Cần nuôi,GDV-040
BRC-01174,0964876163,Khách hàng 1174,10/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Ba Đình,Hỏi ưu đãi,Thành công,Nóng,GDV-006
BRC-01381,0908607126,Khách hàng 1381,10/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Cầu Giấy,Hỏi ưu đãi,Đang liên hệ,Cần nuôi,GDV-008
BRC-01344,0929795404,Khách hàng 1344,10/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Trung,CN Huế,Mở mới,Đã tư vấn,Ấm,GDV-015
BRC-01186,0927101489,Khách hàng 1186,11/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,Tư vấn sản phẩm,Mới,Ấm,GDV-036
BRC-01973,0921048720,Khách hàng 1973,11/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Cầu Giấy,Tư vấn sản phẩm,Không liên hệ được,Ấm,GDV-059
BRC-01713,0910863036,Khách hàng 1713,12/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,Mở mới,Chuyển hồ sơ,Ấm,GDV-039
BRC-01580,0925089958,Khách hàng 1580,12/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Cầu Giấy,Hỗ trợ hồ sơ,Mới,Ấm,GDV-035
BRC-01451,0933095034,Khách hàng 1451,12/01/2026,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hải Phòng,Hỏi ưu đãi,Thành công,Cần nuôi,GDV-047
