id,phone,name,created_at,campaign,post_id,product,region,need,status,quality,channel_page
SIB-01898,0967 217 416,Khách hàng 1898,2026-01-07 15:23:00,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,So sánh sản phẩm,consulted,low_priority,KPIM Bank - CSKH
SIB-00002,0998 539 046,Khách hàng 0002,2026-01-08 11:36:00,CMP-2026-Q1,P-Q1-01,Thẻ tín dụng hoàn tiền,Miền Nam,Tư vấn sản phẩm,contacting,nurture,KPIM Bank
SIB-05521,0900 274 905,Khách hàng 1335,2026-01-15 07:27:00,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,Tư vấn sản phẩm,consulted,nurture,KPIM Bank - CSKH
SIB-02017,0902 540 414,Khách hàng 2017,2026-01-15 11:37:00,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Trung,Mở mới,submitted,hot,KPIM Bank
SIB-01701,0915 454 883,Khách hàng 1701,2026-01-19 20:31:00,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,So sánh sản phẩm,new,low_priority,KPIM Bank
SIB-01646,0984 865 852,Khách hàng 1646,2026-01-20 14:12:00,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,Tư vấn sản phẩm,won,warm,KPIM Bank - CSKH
SIB-00036,0906 087 236,Khách hàng 0036,2026-01-20 16:36:00,CMP-2026-Q1,P-Q1-02,Thẻ tín dụng hoàn tiền,Miền Bắc,Hỗ trợ hồ sơ,submitted,hot,KPIM Bank - CSKH
SIB-00051,0963 035 097,Khách hàng 0051,2026-01-21 17:08:00,CMP-2026-Q1,P-Q1-03,Thẻ tín dụng hoàn tiền,Miền Bắc,Hỏi ưu đãi,contacting,nurture,KPIM Bank
SIB-01166,0901 689 240,Khách hàng 1166,2026-01-22 11:21:00,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,So sánh sản phẩm,contacting,nurture,KPIM Bank
SIB-01221,0989 142 684,Khách hàng 1221,2026-01-24 13:32:00,CMP-2026-Q1,,Tài khoản lương,Miền Trung,Mở mới,won,hot,KPIM Bank - CSKH
SIB-01749,0914 332 637,Khách hàng 1749,2026-01-24 19:44:00,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,Tư vấn sản phẩm,consulted,low_priority,KPIM Bank - CSKH
SIB-01408,0959 410 009,Khách hàng 1408,2026-01-24 20:39:00,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,So sánh sản phẩm,new,warm,KPIM Bank - CSKH
SIB-01747,0983 875 013,Khách hàng 1747,2026-01-26 12:56:00,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,Hỗ trợ hồ sơ,contacting,hot,KPIM Bank - CSKH
SIB-01420,0950 353 457,Khách hàng 1420,2026-01-26 14:25:00,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,Tư vấn sản phẩm,submitted,nurture,KPIM Bank
SIB-00022,0950 901 402,Khách hàng 0022,2026-01-27 07:42:00,CMP-2026-Q1,P-Q1-02,Thẻ tín dụng hoàn tiền,Miền Bắc,Hỏi ưu đãi,new,nurture,KPIM Bank
SIB-00014,0975 274 622,Khách hàng 0014,2026-01-27 09:23:00,CMP-2026-Q1,P-Q1-02,Thẻ tín dụng hoàn tiền,Miền Nam,Tư vấn sản phẩm,submitted,warm,KPIM Bank - CSKH
SIB-01412,0926 755 014,Khách hàng 1412,2026-01-27 19:56:00,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,Mở mới,new,hot,KPIM Bank
SIB-01155,0917 149 988,Khách hàng 1155,2026-01-29 18:27:00,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,Mở mới,consulted,low_priority,KPIM Bank - CSKH
SIB-05478,0953 572 609,Khách hàng 1364,2026-01-30 13:53:00,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,Hỗ trợ hồ sơ,contacting,warm,KPIM Bank - CSKH
SIB-00074,0979 140 230,Khách hàng 0074,2026-02-01 08:28:00,CMP-2026-Q1,P-Q1-05,Thẻ tín dụng hoàn tiền,Miền Bắc,Mở mới,new,warm,KPIM Bank
SIB-01851,0971 120 946,Khách hàng 1851,2026-02-01 13:24:00,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,Hỏi ưu đãi,new,hot,KPIM Bank - CSKH
SIB-05589,0932 415 660,Khách hàng 1359,2026-02-03 20:45:00,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Trung,Tư vấn sản phẩm,contacting,warm,KPIM Bank
SIB-01534,0960 562 073,Khách hàng 1534,2026-02-04 10:58:00,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,Hỗ trợ hồ sơ,submitted,hot,KPIM Bank
SIB-01707,0991 470 412,Khách hàng 1707,2026-02-10 11:15:00,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,Hỏi ưu đãi,submitted,hot,KPIM Bank - CSKH
SIB-01773,0970 775 743,Khách hàng 1773,2026-02-11 19:15:00,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Bắc,Mở mới,won,nurture,KPIM Bank
SIB-05644,0972 123 376,Khách hàng 1572,2026-02-12 08:55:00,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,Mở mới,new,nurture,KPIM Bank - CSKH
SIB-00167,0911 021 658,Khách hàng 0167,2026-02-13 22:40:00,CMP-2026-Q1,P-Q1-08,Thẻ tín dụng hoàn tiền,Miền Bắc,Mở mới,won,hot,KPIM Bank
SIB-01513,0918 167 967,Khách hàng 1513,2026-02-14 13:21:00,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,Mở mới,consulted,low_priority,KPIM Bank - CSKH
SIB-00150,0904 314 825,Khách hàng 0150,2026-02-14 16:48:00,CMP-2026-Q1,P-Q1-07,Thẻ tín dụng hoàn tiền,Miền Trung,So sánh sản phẩm,contacting,nurture,KPIM Bank
SIB-00117,0940 160 411,Khách hàng 0117,2026-02-15 10:23:00,CMP-2026-Q1,P-Q1-07,Thẻ tín dụng hoàn tiền,Miền Trung,Hỗ trợ hồ sơ,contacting,warm,KPIM Bank
SIB-01537,0950 983 711,Khách hàng 1537,2026-02-15 12:03:00,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,Mở mới,new,nurture,KPIM Bank
SIB-00166,0989 478 356,Khách hàng 0166,2026-02-17 07:53:00,CMP-2026-Q1,P-Q1-08,Thẻ tín dụng hoàn tiền,Miền Bắc,Tư vấn sản phẩm,contacting,hot,KPIM Bank
SIB-00148,0911 844 777,Khách hàng 0148,2026-02-17 10:11:00,CMP-2026-Q1,P-Q1-07,Thẻ tín dụng hoàn tiền,Miền Bắc,Hỏi ưu đãi,new,nurture,KPIM Bank - CSKH
SIB-01292,0996 259 876,Khách hàng 1292,2026-02-17 19:17:00,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Trung,Mở mới,new,low_priority,KPIM Bank - CSKH
SIB-00086,0981 415 637,Khách hàng 0086,2026-02-17 21:22:00,CMP-2026-Q1,P-Q1-05,Thẻ tín dụng hoàn tiền,Miền Trung,Hỗ trợ hồ sơ,unreachable,warm,KPIM Bank
SIB-00119,0904 151 506,Khách hàng 0119,2026-02-18 07:04:00,CMP-2026-Q1,P-Q1-07,Thẻ tín dụng hoàn tiền,Miền Trung,Tư vấn sản phẩm,unreachable,hot,KPIM Bank - CSKH
SIB-00147,0971 966 264,Khách hàng 0147,2026-02-18 07:25:00,CMP-2026-Q1,P-Q1-07,Thẻ tín dụng hoàn tiền,Miền Nam,Tư vấn sản phẩm,contacting,warm,KPIM Bank - CSKH
SIB-01285,0958 355 561,Khách hàng 1285,2026-02-19 20:26:00,CMP-2026-Q1,,Tài khoản lương,Miền Nam,Hỗ trợ hồ sơ,won,nurture,KPIM Bank
SIB-01778,0966 211 531,Khách hàng 1778,2026-02-21 08:16:00,CMP-2026-Q1,,Thẻ tín dụng hoàn tiền,Miền Nam,Tư vấn sản phẩm,won,warm,KPIM Bank
SIB-00122,0995 188 830,Khách hàng 0122,2026-02-21 08:32:00,CMP-2026-Q1,P-Q1-07,Thẻ tín dụng hoàn tiền,Miền Nam,Hỏi ưu đãi,contacting,warm,KPIM Bank - CSKH
