lead_id,phone_number,full_name,created_at,campaign_id,post_id,landing_page,product_interest,region,branch,need_type,lead_status,lead_segment,utm_medium
WEB-01680,0976888460,Khách hàng 1680,1767698880,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Cầu Giấy,So sánh sản phẩm,unreachable,warm,organic
WEB-00003,0902101471,Khách hàng 0003,1767715440,CMP-2026-Q1,P-Q1-01,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,Mở mới,contacting,hot,referral
WEB-01229,0956236904,Khách hàng 1229,1767720660,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hải Phòng,Mở mới,submitted,nurture,referral
WEB-01742,0956977332,Khách hàng 1742,1767730980,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hải Phòng,Mở mới,won,warm,email
WEB-01207,0937087478,Khách hàng 1207,1767772920,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Thủ Đức,Tư vấn sản phẩm,won,warm,organic
WEB-01739,0956745254,Khách hàng 1739,1767816600,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Cầu Giấy,Hỗ trợ hồ sơ,new,warm,organic
WEB-01349,0966364808,Khách hàng 1349,1767895560,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Cầu Giấy,Tư vấn sản phẩm,unreachable,low_priority,referral
WEB-01971,0961310354,Khách hàng 1971,1767896580,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Ba Đình,So sánh sản phẩm,new,low_priority,referral
WEB-01298,0939674615,Khách hàng 1298,1767978060,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Trung,CN Đà Nẵng,Mở mới,submitted,nurture,referral
WEB-01718,0907764801,Khách hàng 1718,1768047540,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Trung,CN Đà Nẵng,Hỏi ưu đãi,contacting,hot,organic
WEB-01632,0966976011,Khách hàng 1632,1768074480,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,Hỗ trợ hồ sơ,submitted,nurture,referral
WEB-01761,0948487511,Khách hàng 1761,1768132380,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Trung,CN Huế,Mở mới,new,warm,email
WEB-01837,0998864359,Khách hàng 1837,1768143180,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN Cần Thơ,Mở mới,new,hot,cpc
WEB-02006,0944044971,Khách hàng 2006,1768219080,CMP-2026-Q1,,/lp/cmp-2026-q1,Vay mua nhà,Miền Nam,CN TP.HCM - Quận 1,Hỗ trợ hồ sơ,submitted,hot,email
WEB-01849,0905683709,Khách hàng 1849,1768328220,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Trung,CN Huế,Hỏi ưu đãi,new,nurture,referral
WEB-00011,0985934789,Khách hàng 0011,1768330740,CMP-2026-Q1,P-Q1-02,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Thủ Đức,Tư vấn sản phẩm,unreachable,nurture,organic
WEB-01385,0971089475,Khách hàng 1385,1768419180,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hải Phòng,So sánh sản phẩm,new,hot,referral
WEB-00020,0966669955,Khách hàng 0020,1768478040,CMP-2026-Q1,P-Q1-02,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,Mở mới,contacting,nurture,email
WEB-00018,0941625346,Khách hàng 0018,1768479120,CMP-2026-Q1,P-Q1-02,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Trung,CN Nha Trang,Tư vấn sản phẩm,submitted,low_priority,referral
WEB-01573,0977777963,Khách hàng 1573,1768643160,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Ba Đình,Mở mới,consulted,nurture,email
WEB-01635,0923491749,Khách hàng 1635,1768683540,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Cầu Giấy,Hỗ trợ hồ sơ,new,nurture,referral
WEB-01709,0913925600,Khách hàng 1709,1768814280,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Cầu Giấy,Mở mới,new,low_priority,organic
WEB-00054,0994678534,Khách hàng 0054,1768843020,CMP-2026-Q1,P-Q1-03,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Trung,CN Đà Nẵng,Hỗ trợ hồ sơ,consulted,hot,organic
WEB-00031,0988462641,Khách hàng 0031,1768843080,CMP-2026-Q1,P-Q1-02,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Cầu Giấy,So sánh sản phẩm,consulted,low_priority,referral
WEB-00045,0921914207,Khách hàng 0045,1768897080,CMP-2026-Q1,P-Q1-03,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN Bình Dương,Hỗ trợ hồ sơ,won,hot,organic
WEB-01312,0963137775,Khách hàng 1312,1768995060,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN Bình Dương,Hỗ trợ hồ sơ,contacting,hot,referral
WEB-01106,0913680535,Khách hàng 1106,1769001300,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Cầu Giấy,Hỗ trợ hồ sơ,unreachable,hot,organic
WEB-01373,0905796498,Khách hàng 1373,1769001840,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Bắc Ninh,Tư vấn sản phẩm,consulted,low_priority,organic
WEB-00021,0944011338,Khách hàng 0021,1769088000,CMP-2026-Q1,P-Q1-02,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Thủ Đức,Mở mới,contacting,warm,referral
WEB-01128,0986397643,Khách hàng 1128,1769095740,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Bắc Ninh,So sánh sản phẩm,submitted,nurture,referral
WEB-01272,0920486180,Khách hàng 1272,1769266620,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Quận 1,Hỗ trợ hồ sơ,consulted,nurture,organic
WEB-01817,0959411148,Khách hàng 1817,1769268240,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN Bình Dương,Tư vấn sản phẩm,consulted,low_priority,email
WEB-01096,0934790234,Khách hàng 1096,1769349360,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Thủ Đức,Hỏi ưu đãi,new,warm,email
WEB-00004,0982185568,Khách hàng 0004,1769353200,CMP-2026-Q1,P-Q1-01,/lp/cmp-2026-q1,Tài khoản lương,Miền Bắc,CN Hà Nội - Cầu Giấy,Tư vấn sản phẩm,new,nurture,referral
WEB-01949,0958204325,Khách hàng 1949,1769522460,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Trung,CN Đà Nẵng,Mở mới,new,nurture,referral
WEB-00047,0982593420,Khách hàng 0047,1769533920,CMP-2026-Q1,P-Q1-03,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN Cần Thơ,Hỏi ưu đãi,won,nurture,organic
WEB-01236,0918109063,Khách hàng 1236,1769588340,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN Cần Thơ,Tư vấn sản phẩm,consulted,low_priority,email
WEB-01176,0941383757,Khách hàng 1176,1769605200,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN Bình Dương,Mở mới,new,low_priority,organic
WEB-01417,0923550804,Khách hàng 1417,1769611200,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Bắc Ninh,Mở mới,contacting,nurture,organic
WEB-01286,0934566987,Khách hàng 1286,1769614860,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Ba Đình,Mở mới,won,nurture,organic
WEB-05680,0906466845,Khách hàng 1179,1769735820,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN TP.HCM - Thủ Đức,Hỗ trợ hồ sơ,won,warm,cpc
WEB-01156,0979687723,Khách hàng 1156,1769793900,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Hà Nội - Ba Đình,Mở mới,won,low_priority,cpc
WEB-01935,0989706141,Khách hàng 1935,1769860680,CMP-2026-Q1,,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Bắc,CN Bắc Ninh,Hỏi ưu đãi,consulted,nurture,organic
WEB-00061,0930479770,Khách hàng 0061,1769941440,CMP-2026-Q1,P-Q1-04,/lp/cmp-2026-q1,Thẻ tín dụng hoàn tiền,Miền Nam,CN Bình Dương,So sánh sản phẩm,consulted,low_priority,referral
